Date,TotalSteps,DistanceCoveredMI,DistanceCoveredKM,TotalCaloriesBurned,TotalActiveTime,TotalActiveTimeInSeconds,PercentTimeActive,TotalInactiveTime,TotalInactiveTimeInSeconds,PercentTimeInactive
2/25/14,7930,4.77,7.674,745.9,58m,3490,8.67%,10h 13m,36780,91.33%
2/26/14,2766,1.42,2.286,196.64,23m,1439,3.72%,10h 20m,37200,96.28%
2/27/14,5498,2.89,4.654,409.36,46m,2776,7.26%,9h 51m,35460,92.74%
3/1/14,1230,0.59,0.954,82.02,11m,697,1.75%,10h 54m,39240,98.25%
3/2/14,6475,3.31,5.332,456.6,56m,3377,9.15%,9h 19m,33540,90.85%
3/3/14,1478,0.77,1.238,109.65,12m,743,36.02%,22m,1320,63.98%
3/4/14,2653,1.38,2.226,196.46,22m,1365,3.59%,10h 11m,36660,96.41%
3/5/14,5028,2.59,4.161,345.17,43m,2609,7.12%,9h 27m,34020,92.88%
3/6/14,3154,1.61,2.599,226.39,27m,1663,4.31%,10h 15m,36900,95.69%
3/7/14,4875,2.46,3.962,324.7,43m,2610,6.83%,9h 53m,35580,93.17%
3/8/14,1056,0.53,0.858,70.67,9m,569,8.82%,1h 38m,5880,91.18%
3/9/14,1601,0.79,1.269,110.46,14m,896,2.62%,9h 16m,33360,97.38%
3/10/14,331,0.17,0.272,23.94,2m,175,19.55%,12m,720,80.45%
3/11/14,116,0.07,0.105,10.83,Unknown,51,0.13%,11h 0m,39600,99.87%
3/12/14,3662,1.88,3.023,255.2,31m,1914,5.30%,9h 30m,34200,94.70%
3/13/14,4489,2.28,3.675,312.56,39m,2374,6.20%,9h 59m,35940,93.80%
3/14/14,4555,2.34,3.761,318.2,39m,2361,6.18%,9h 57m,35820,93.82%
3/15/14,3494,1.8,2.902,256.66,30m,1815,7.83%,5h 56m,21360,92.17%
3/16/14,1306,0.66,1.068,90.92,11m,694,1.86%,10h 9m,36540,98.14%
3/17/14,3288,1.67,2.694,231.97,28m,1739,4.63%,9h 57m,35820,95.37%
3/18/14,3479,1.78,2.871,245.85,30m,1818,4.84%,9h 56m,35760,95.16%
3/19/14,4810,2.48,3.986,342.13,41m,2498,10.29%,6h 3m,21780,89.71%
3/20/14,4700,2.39,3.84,334.67,41m,2487,6.47%,9h 59m,35940,93.53%
3/21/14,6331,3.26,5.242,455.52,55m,3317,8.96%,9h 22m,33720,91.04%
3/22/14,8489,4.9,7.892,781.63,1h 5m,3945,11.09%,8h 47m,31620,88.91%
3/23/14,18,0.01,0.013,1.19,Unknown,11,100%,Unknown,0,0%
3/24/14,1818,0.93,1.493,127.92,16m,961,6%,4h 11m,15060,94%
3/25/14,8376,4.08,6.559,573.45,1h 18m,4736,12.53%,9h 11m,33060,87.47%
3/26/14,22,0.01,0.019,1.72,Unknown,11,100%,Unknown,0,0%
3/27/14,13,0.01,0.011,1.05,Unknown,6,100%,Unknown,0,0%
3/28/14,5886,2.91,4.68,404.89,54m,3264,8.26%,10h 4m,36240,91.74%
3/29/14,1638,0.85,1.36,124.92,14m,840,38.89%,22m,1320,61.11%
3/30/14,329,0.18,0.288,28.61,2m,154,100%,Unknown,0,0%
3/31/14,3454,1.77,2.843,254.17,30m,1814,5.26%,9h 5m,32700,94.74%
4/1/14,21,0.01,0.018,1.72,Unknown,10,100%,Unknown,0,0%
4/2/14,521,0.27,0.43,39.67,4m,268,2.62%,2h 46m,9960,97.38%
4/3/14,3706,1.89,3.04,269.58,32m,1949,5.27%,9h 44m,35040,94.73%
4/4/14,2469,1.25,2.008,181.62,22m,1329,3.64%,9h 47m,35220,96.36%
4/5/14,2611,1.27,2.036,183.38,25m,1504,4.22%,9h 29m,34140,95.78%
4/6/14,4431,2.25,3.628,319.98,39m,2360,14.03%,4h 1m,14460,85.97%
4/7/14,4558,2.29,3.684,318.38,40m,2457,6.58%,9h 41m,34860,93.42%
4/8/14,4922,2.51,4.046,339.85,43m,2588,6.89%,9h 43m,34980,93.11%
4/9/14,3589,1.82,2.933,255.31,31m,1901,4.85%,10h 22m,37320,95.15%
4/10/14,2096,1.05,1.697,138.32,18m,1124,2.97%,10h 11m,36660,97.03%
4/15/14,2235,1.15,1.856,154.2,19m,1163,2.98%,10h 31m,37860,97.02%
4/16/14,2937,1.49,2.403,201.9,25m,1555,4.05%,10h 14m,36840,95.95%
4/17/14,2616,1.33,2.137,179.06,23m,1384,3.64%,10h 10m,36600,96.36%
4/18/14,5568,2.85,4.587,388.87,48m,2934,7.65%,9h 50m,35400,92.35%
4/19/14,1917,0.99,1.589,143.32,16m,1003,3.95%,6h 47m,24420,96.05%
4/20/14,1005,0.55,0.882,82.51,7m,478,5.11%,2h 28m,8880,94.89%
4/21/14,3856,1.93,3.108,270.53,34m,2086,5.55%,9h 52m,35520,94.45%
4/22/14,2663,1.34,2.155,188.38,23m,1434,3.81%,10h 3m,36180,96.19%
4/23/14,7258,3.7,5.952,507.79,1h 4m,3860,9.85%,9h 49m,35340,90.15%
4/24/14,3530,1.8,2.89,253.86,31m,1862,4.94%,9h 57m,35820,95.06%
4/25/14,3102,1.58,2.546,212.59,27m,1635,4.30%,10h 7m,36420,95.70%
4/26/14,288,0.16,0.254,25.11,2m,132,100%,Unknown,0,0%
4/27/14,36,0.02,0.03,2.63,Unknown,18,100%,Unknown,0,0%
4/28/14,4701,2.41,3.875,339.18,41m,2470,6.54%,9h 48m,35280,93.46%
4/29/14,3411,1.73,2.783,242.03,30m,1812,4.70%,10h 12m,36720,95.30%
4/30/14,3271,1.63,2.626,226.84,29m,1778,4.56%,10h 20m,37200,95.44%
5/1/14,1876,0.94,1.512,134.2,16m,1018,2.69%,10h 14m,36840,97.31%
5/2/14,5827,2.94,4.739,401.26,51m,3111,8.28%,9h 34m,34440,91.72%
5/3/14,8866,4.67,7.513,698.56,1h 14m,4441,13.51%,7h 54m,28440,86.49%
5/4/14,770,0.39,0.632,57.71,6m,400,3.73%,2h 52m,10320,96.27%
5/5/14,4049,2.07,3.329,287.6,35m,2134,5.64%,9h 55m,35700,94.36%
5/6/14,5628,2.77,4.453,379.73,52m,3140,7.78%,10h 20m,37200,92.22%
5/7/14,6178,3.13,5.03,431.76,55m,3311,9.21%,9h 4m,32640,90.79%
5/8/14,2362,1.19,1.921,168.28,21m,1268,3.67%,9h 15m,33300,96.33%
5/9/14,6134,3.11,5.01,425.47,54m,3264,8.66%,9h 34m,34440,91.34%
5/10/14,4351,2.24,3.612,328.55,38m,2282,12.31%,4h 31m,16260,87.69%
5/11/14,9068,4.77,7.68,709.7,1h 16m,4584,12.94%,8h 34m,30840,87.06%
5/12/14,3397,1.73,2.785,237.84,29m,1778,4.65%,10h 7m,36420,95.35%
5/13/14,3058,1.54,2.485,211.62,27m,1633,4.19%,10h 22m,37320,95.81%
5/14/14,3451,1.76,2.834,235.71,30m,1816,4.72%,10h 11m,36660,95.28%
5/15/14,4903,2.47,3.976,346.44,44m,2641,7.15%,9h 32m,34320,92.85%
5/16/14,6744,3.41,5.487,472.25,1h 0m,3624,9.77%,9h 18m,33480,90.23%
5/17/14,2550,1.29,2.07,184.15,22m,1378,4.93%,7h 23m,26580,95.07%
5/18/14,19468,9.81,15.795,1431.79,2h 54m,10453,33.42%,5h 47m,20820,66.58%
5/19/14,7367,3.7,5.948,517.04,1h 6m,3970,10.21%,9h 42m,34920,89.79%
5/20/14,4406,2.23,3.587,313.7,39m,2370,6.48%,9h 30m,34200,93.52%
5/22/14,5472,2.79,4.488,377.92,48m,2884,7.70%,9h 36m,34560,92.30%
5/23/14,5361,2.67,4.289,366.18,48m,2939,7.78%,9h 41m,34860,92.22%
5/24/14,2010,0.97,1.56,136.85,19m,1151,5.59%,5h 24m,19440,94.41%
5/25/14,4885,2.46,3.957,362.57,43m,2628,7.88%,8h 32m,30720,92.12%
5/26/14,171,0.09,0.138,12.65,1m,95,1.83%,1h 25m,5100,98.17%
5/27/14,3502,1.77,2.85,248.3,31m,1873,4.90%,10h 6m,36360,95.10%
5/28/14,9333,4.97,7.994,729.37,1h 16m,4586,10.82%,10h 30m,37800,89.18%
5/29/14,1742,0.89,1.425,121.52,15m,919,5.58%,4h 19m,15540,94.42%
5/30/14,7323,3.63,5.837,495.32,1h 7m,4042,10.45%,9h 37m,34620,89.55%
5/31/14,7119,3.53,5.682,494.36,1h 5m,3928,11.54%,8h 22m,30120,88.46%
6/1/14,5682,2.86,4.608,404.14,50m,3058,8.96%,8h 38m,31080,91.04%
6/2/14,9313,4.94,7.944,736.17,1h 16m,4610,11.27%,10h 5m,36300,88.73%
6/3/14,2671,1.36,2.185,192.76,23m,1433,3.81%,10h 3m,36180,96.19%
6/4/14,1400,0.71,1.145,99.05,12m,742,2.51%,8h 0m,28800,97.49%
6/6/14,3530,1.77,2.842,246.77,32m,1922,5.22%,9h 42m,34920,94.78%
6/7/14,4752,2.35,3.779,334.92,44m,2656,7.76%,8h 46m,31560,92.24%
6/8/14,1406,0.72,1.164,101.96,12m,731,3.81%,5h 8m,18480,96.19%
6/9/14,3556,1.82,2.931,259.96,31m,1863,4.83%,10h 12m,36720,95.17%
6/10/14,8874,5.24,8.429,851.25,1h 6m,3985,9.85%,10h 8m,36480,90.15%
6/11/14,4218,2.41,3.883,389.84,32m,1960,12.39%,3h 51m,13860,87.61%
6/12/14,10593,6,9.663,950.42,1h 24m,5066,12.88%,9h 31m,34260,87.12%
6/13/14,5349,2.69,4.334,376.4,47m,2875,7.78%,9h 28m,34080,92.22%
6/14/14,13704,8.05,12.952,1297.3,1h 44m,6265,19.50%,7h 11m,25860,80.50%
6/15/14,6815,3.38,5.435,484.1,1h 2m,3756,12.19%,7h 31m,27060,87.81%
6/16/14,3773,1.9,3.06,274.39,33m,2031,5.32%,10h 3m,36180,94.68%
6/17/14,11860,6.64,10.688,1056.12,1h 34m,5651,14.33%,9h 23m,33780,85.67%
6/18/14,2660,1.33,2.138,185.28,24m,1457,4.16%,9h 20m,33600,95.84%
6/19/14,12815,7.38,11.873,1217.6,1h 36m,5766,13.61%,10h 10m,36600,86.39%
6/22/14,9601,5.81,9.347,1004.5,1h 7m,4043,13.47%,7h 13m,25980,86.53%
6/23/14,3212,1.63,2.631,248.26,28m,1733,4.65%,9h 52m,35520,95.35%
6/30/14,3768,1.92,3.082,281.73,33m,1992,5.52%,9h 28m,34080,94.48%
7/1/14,3698,1.88,3.032,277.17,32m,1956,5.03%,10h 15m,36900,94.97%
7/2/14,7398,4.32,6.953,723.23,55m,3303,8.37%,10h 3m,36180,91.63%
7/3/14,3707,1.85,2.979,252.29,33m,2014,11.02%,4h 31m,16260,88.98%
7/4/14,9616,4.96,7.981,728.1,1h 23m,5000,16.27%,7h 9m,25740,83.73%
7/5/14,12475,7.26,11.69,1183.94,1h 33m,5584,16.56%,7h 49m,28140,83.44%
7/6/14,4764,2.39,3.841,336.82,43m,2581,7.11%,9h 22m,33720,92.89%
7/7/14,3903,1.97,3.167,287.71,34m,2098,5.71%,9h 37m,34620,94.29%
7/8/14,6483,3.24,5.221,455.78,58m,3516,8.84%,10h 4m,36240,91.16%
7/9/14,3978,1.96,3.157,276.53,36m,2216,6.03%,9h 36m,34560,93.97%
7/10/14,2828,1.43,2.304,203.2,25m,1526,3.89%,10h 28m,37680,96.11%
7/11/14,12753,7.05,11.346,1089.72,1h 45m,6311,15.67%,9h 26m,33960,84.33%
7/12/14,1622,0.79,1.265,111.74,15m,924,24.68%,47m,2820,75.32%
7/13/14,4631,2.31,3.72,338.29,42m,2536,7.42%,8h 47m,31620,92.58%
7/14/14,5411,2.71,4.358,380.47,48m,2938,7.98%,9h 25m,33900,92.02%
7/15/14,9371,5.56,8.955,943.84,1h 7m,4079,10.30%,9h 52m,35520,89.70%
7/16/14,2940,1.47,2.369,205.4,26m,1590,4.16%,10h 10m,36600,95.84%
7/17/14,9538,5.72,9.207,958.4,1h 9m,4142,10.06%,10h 17m,37020,89.94%
7/18/14,5915,2.97,4.778,414.7,53m,3194,8.67%,9h 21m,33660,91.33%
7/19/14,404,0.19,0.311,28.34,3m,236,100%,Unknown,0,0%
9/27/14,3137,1.57,2.524249768,222.13,15m,924,2.73%,9h 9m,32980,97.27%
9/28/14,4683,2.34,3.768269565,331.53,21m,1313,3.90%,8h 58m,32311,96.10%
9/29/14,11774,5.89,9.474184461,892.34,1h 9m,4150,10.89%,9h 25m,33953,89.11%
9/30/14,10744,5.37,8.645374395,806.78,1h 2m,3746,9.63%,9h 45m,35142,90.37%
10/1/14,10588,5.3,8.523880013,804.77,1h 1m,3669,9.39%,9h 49m,35392,90.61%
10/2/14,13075,7.68,12.35674726,1245.79,1h 31m,5470,13.74%,9h 32m,34344,86.26%
10/3/14,13039,7.38,11.87689141,1159.64,1h 29m,5394,14.07%,9h 9m,32942,85.93%
10/4/14,14364,7.98,12.8441878,1255.37,1h 39m,5967,20.22%,6h 32m,23546,79.78%
10/5/14,7578,3.9,6.277870312,580.1,53m,3210,10.36%,7h 43m,27788,89.64%
10/7/14,12250,7.28,11.72025063,1195.11,1h 24m,5051,12.69%,9h 39m,34758,87.31%
10/8/14,10891,6.18,9.942,972.94,1h 24m,5042,12.43%,9h 52m,35520,87.57%
10/9/14,9198,5.62,9.043,936.8,1h 3m,3817,9.28%,10h 22m,37320,90.72%
10/10/14,10944,6.45,10.376,1052.96,1h 19m,4784,11.80%,9h 56m,35760,88.20%
10/11/14,6644,3.42,5.501,480.04,57m,3453,9.91%,8h 43m,31380,90.09%
10/12/14,8692,4.44,7.141199015,645.51,1h 3m,3821,12.37%,7h 31m,27060,87.63%
10/13/14,14595,8.69,13.9844886,1408.13,1h 40m,6028,15.12%,9h 23m,33828,84.88%
10/14/14,10143,6.07,9.775384874,1013.74,1h 5m,3956,9.85%,10h 3m,36204,90.15%
10/15/14,12495,7.47,12.02089901,1223.36,1h 27m,5251,13.24%,9h 33m,34418,86.76%
10/16/14,14291,8.27,13.31559235,1321.87,1h 38m,5889,14.94%,9h 18m,33536,85.06%
10/17/14,13022,7.28,11.7226736,1133.14,1h 34m,5695,14.78%,9h 7m,32838,85.22%
10/18/14,16691,8.44,13.58842984,1193.39,2h 13m,8023,34.32%,4h 15m,15351,65.68%
10/19/14,12562,6.22,10.00326098,886.16,1h 44m,6280,20.14%,6h 54m,24896,79.86%
10/20/14,5695,2.88,4.62936109,405.87,41m,2502,7.15%,9h 1m,32493,92.85%
10/21/14,11682,7.12,11.4629264,1193.49,1h 14m,4494,11.32%,9h 46m,35202,88.68%
10/22/14,15422,9.01,14.49526588,1458.98,1h 47m,6464,16.42%,9h 8m,32912,83.58%
10/23/14,12388,7.35,11.82914285,1209.41,1h 21m,4905,12.47%,9h 33m,34415,87.53%
10/24/14,13076,7.4,11.91229147,1164.36,1h 35m,5716,14.59%,9h 17m,33454,85.41%
10/25/14,13373,6.6,10.6282147,946.58,1h 53m,6823,22.46%,6h 32m,23554,77.54%
10/26/14,3833,1.94,3.115,278.18,34m,2049,5.87%,9h 8m,32880,94.13%
10/27/14,13930,8.29,13.33671264,1340.86,1h 41m,6072,15.48%,9h 12m,33141,84.52%
10/28/14,11370,6.66,10.726,1095.77,1h 25m,5108,11.81%,10h 36m,38160,88.19%
10/29/14,6145,3.01,4.850737793,433.71,52m,3160,8.10%,9h 57m,35858,91.90%
10/30/14,8151,4.13,6.648746835,602.52,1h 0m,3602,10.88%,8h 11m,29507,89.12%
10/31/14,8762,4.42,7.11343699,620.05,1h 6m,3983,12.25%,7h 55m,28542,87.75%
11/2/14,5729,2.89,4.645992908,413.28,38m,2317,6.98%,8h 34m,30882,93.02%
11/3/14,11785,6.62,10.65922236,1060.41,1h 19m,4798,12.72%,9h 8m,32919,87.28%
11/4/14,11035,6.44,10.35632155,1060.13,1h 17m,4644,11.50%,9h 55m,35745,88.50%
11/5/14,9960,5.8,9.338505663,1074.03,1h 12m,4335,10.92%,9h 49m,35364,89.08%
11/6/14,11879,7.09,11.41050921,1170.26,1h 24m,5063,12.86%,9h 31m,34317,87.14%
11/7/14,12546,7.32,11.784,1186.17,1h 36m,5816,14.13%,9h 49m,35340,85.87%
11/8/14,2498,1.29,2.073,189.44,22m,1325,3.77%,9h 24m,33840,96.23%
11/9/14,13791,8.65,13.92,1398.63,1h 49m,6557,18.87%,7h 50m,28200,81.13%
11/10/14,6426,4.28,6.881,756.83,46m,2788,6.61%,10h 56m,39360,93.39%
11/11/14,9196,5.5,8.855,878.01,1h 5m,3921,9.91%,9h 54m,35640,90.09%
11/12/14,5066,2.55,4.106470181,354.82,38m,2333,6.62%,9h 8m,32885,93.38%
11/13/14,13174,8.15,13.115,1322.6,1h 47m,6452,15.31%,9h 55m,35700,84.69%
11/14/14,11445,6.7,10.783,1171.48,1h 32m,5537,14.69%,8h 56m,32160,85.31%
11/15/14,3468,1.76,2.838,252.9,30m,1838,5.19%,9h 20m,33600,94.81%
11/16/14,14496,8.67,13.95097716,1425.98,2h 13m,8010,23.97%,7h 3m,25405,76.03%
11/17/14,5495,2.8,4.513,392.64,47m,2874,7.43%,9h 57m,35820,92.57%
11/18/14,12226,7.02,11.295,1077.42,1h 34m,5689,14.11%,9h 37m,34620,85.89%
11/19/14,8335,5.04,8.108,801.12,1h 0m,3606,8.92%,10h 14m,36840,91.08%
11/20/14,10112,6.15,9.896,1189.02,1h 21m,4915,11.60%,10h 24m,37440,88.40%
11/21/14,9832,5.93,9.545,939.34,1h 11m,4291,10.60%,10h 3m,36180,89.40%
11/22/14,2663,1.37,2.197,195.61,23m,1399,3.80%,9h 50m,35400,96.20%
11/23/14,11226,5.79,9.311,903.23,1h 49m,6558,22.52%,6h 16m,22560,77.48%
11/24/14,14588,8.62,13.866,1415.29,1h 53m,6793,16.60%,9h 29m,34140,83.40%
11/25/14,12200,7.42,11.94,1167.42,1h 30m,5445,13.69%,9h 32m,34320,86.31%
11/26/14,8900,5.25,8.444,861.98,1h 14m,4459,11.83%,9h 14m,33240,88.17%
11/27/14,13654,8.4,13.515,1362.71,1h 36m,5808,16.41%,8h 13m,29580,83.59%
11/28/14,5253,2.78,4.472,396.32,43m,2619,7.02%,9h 38m,34680,92.98%
11/29/14,11326,7.18,11.549,1155.3,1h 19m,4776,14.10%,8h 5m,29100,85.90%
11/30/14,7414,3.82,6.144304052,545.25,57m,3424,11.41%,7h 23m,26595,88.59%
12/1/14,11135,6.72,10.813,1551.69,1h 57m,7073,16.63%,9h 51m,35460,83.37%
12/2/14,10397,6.41,10.321,1025.39,1h 14m,4466,11%,10h 2m,36120,89%
12/3/14,6687,3.41,5.494,463.54,58m,3521,9.23%,9h 37m,34620,90.77%
12/4/14,10699,6.82,10.968,1103.37,1h 15m,4540,11.52%,9h 41m,34860,88.48%
12/5/14,8138,5,8.049,792.78,1h 9m,4162,10.32%,10h 3m,36180,89.68%
12/7/14,3993,2.08,3.343,295.71,34m,2059,5.93%,9h 4m,32640,94.07%
12/8/14,9023,5.75,9.253,937.56,1h 2m,3775,9.19%,10h 22m,37320,90.81%
12/9/14,8477,5.44,8.747,904.76,1h 1m,3670,8.89%,10h 27m,37620,91.11%
12/10/14,12283,7.65,12.318,1183.96,1h 29m,5371,13.13%,9h 52m,35520,86.87%
12/11/14,11168,6.79,10.92,1033.33,1h 24m,5074,12.88%,9h 32m,34320,87.12%
12/12/14,5082,2.52,4.054,336.72,46m,2813,7.76%,9h 17m,33420,92.24%
12/13/14,12706,7.63,12.278,1174.96,1h 39m,5955,16.18%,8h 34m,30840,83.82%
12/14/14,6241,3.16,5.088,436.09,55m,3345,8.94%,9h 28m,34080,91.06%
