"February 25, 2014 at 11:18PM","February 26, 2014 at 06:30AM",7h 12m,25926,3h 57m,14225,54.33%,3h 15m,11701,44.69%,4m,256,0.98%
"February 26, 2014 at 11:12PM","February 27, 2014 at 05:30AM",6h 30m,23431,3h 39m,13185,54.56%,2h 38m,9480,39.23%,12m,733,3.03%
"March 02, 2014 at 03:15AM","March 02, 2014 at 09:35AM",5h 33m,19980,3h 35m,12900,51.19%,1h 45m,6300,25%,1h 27m,5220,20.71%
"March 02, 2014 at 11:21PM","March 03, 2014 at 06:30AM",7h 12m,25929,3h 41m,13269,49.53%,3h 31m,12660,47.25%,14m,863,3.22%
"March 04, 2014 at 01:03AM","March 04, 2014 at 06:30AM",6h 10m,22202,3h 23m,12199,51.23%,2h 6m,7560,31.75%,26m,1609,6.76%
"March 05, 2014 at 12:45AM","March 05, 2014 at 06:30AM",6h 3m,21788,2h 58m,10686,46.07%,2h 57m,10620,45.78%,23m,1409,6.07%
"March 06, 2014 at 11:07PM","March 07, 2014 at 06:40AM",7h 28m,26908,3h 10m,11427,40.95%,4h 18m,15481,55.48%,16m,997,3.57%
"March 06, 2014 at 12:05AM","March 06, 2014 at 04:20AM",4h 22m,15720,2h 50m,10200,64.15%,1h 30m,5400,33.96%,3m,180,1.13%
"March 07, 2014 at 11:20PM","March 08, 2014 at 06:25AM",6h 59m,25141,3h 47m,13620,50.39%,3h 12m,11521,42.62%,31m,1888,6.99%
"March 09, 2014 at 05:31AM","March 09, 2014 at 08:30AM",4h 28m,16123,2h 16m,8214,40.39%,43m,2580,12.68%,1h 10m,4216,20.73%
"March 09, 2014 at 10:40PM","March 10, 2014 at 07:20AM",7h 5m,25500,0,0,0%,0,0,0%,0,0,0%
"March 10, 2014 at 11:30PM","March 11, 2014 at 06:30AM",7h 0m,25200,0,0,0%,0,0,0%,0,0,0%
"March 11, 2014 at 11:55PM","March 12, 2014 at 06:30AM",6h 41m,24069,3h 32m,12728,51.62%,3h 9m,11341,46%,9m,588,2.38%
"March 13, 2014 at 02:21AM","March 13, 2014 at 07:35AM",5h 2m,18173,2h 16m,8179,39.87%,2h 42m,9773,47.64%,39m,2342,11.42%
"March 14, 2014 at 12:43AM","March 14, 2014 at 06:30AM",5h 47m,20825,3h 8m,11285,48.55%,2h 39m,9540,41.04%,40m,2419,10.41%
"March 15, 2014 at 12:20AM","March 15, 2014 at 07:20AM",7h 21m,26510,3h 29m,12540,46.77%,3h 36m,12983,48.43%,5m,300,1.12%
"March 14, 2014 at 08:30PM","March 14, 2014 at 11:15PM",3h 0m,10800,1h 50m,6600,61.11%,1h 0m,3600,33.33%,0,0,0%
"March 15, 2014 at 11:00PM","March 16, 2014 at 09:00AM",9h 10m,33000,5h 0m,18000,50%,4h 10m,15000,41.67%,50m,3000,8.33%
"March 17, 2014 at 01:53AM","March 17, 2014 at 06:30AM",4h 38m,16688,2h 25m,8708,50.9%,2h 13m,7980,46.64%,7m,420,2.45%
"March 18, 2014 at 12:00AM","March 18, 2014 at 06:40AM",6h 47m,24421,2h 42m,9720,33.7%,3h 55m,14106,48.9%,1h 13m,4424,15.34%
"March 19, 2014 at 01:19AM","March 19, 2014 at 06:30AM",5h 13m,18824,2h 13m,7980,39.16%,3h 0m,10844,53.21%,25m,1556,7.63%
"March 19, 2014 at 11:35PM","March 20, 2014 at 06:20AM",6h 44m,24240,3h 5m,11159,37.61%,3h 38m,13081,44.09%,1h 30m,5432,18.31%
"March 21, 2014 at 01:44AM","March 21, 2014 at 07:20AM",5h 38m,20315,3h 6m,11167,50.83%,2h 24m,8642,39.33%,27m,1656,7.54%
"March 21, 2014 at 10:00PM","March 22, 2014 at 05:00AM",6h 55m,24900,3h 5m,11100,43.53%,3h 50m,13800,54.12%,10m,600,2.35%
"March 24, 2014 at 02:53AM","March 24, 2014 at 08:35AM",5h 36m,20213,3h 8m,11280,49.18%,2h 21m,8473,36.95%,45m,2721,11.86%
"March 25, 2014 at 12:41AM","March 25, 2014 at 08:30AM",7h 43m,27803,4h 30m,16200,56.24%,3h 13m,11603,40.28%,16m,1002,3.48%
"March 26, 2014 at 02:33AM","March 26, 2014 at 09:25AM",6h 14m,22487,3h 56m,14207,55.9%,2h 18m,8280,32.58%,48m,2930,11.53%
"March 27, 2014 at 03:42AM","March 27, 2014 at 09:00AM",5h 8m,18489,2h 56m,10569,51.73%,2h 12m,7920,38.77%,32m,1941,9.5%
